ammend_order_buy_average,ammend_order_sell_average,cancel_order_buy_average,cancel_order_sell_average,execute_order_buy_average,execute_order_sell_average,new_order_buy_average,new_order_sell_average,time_index_volume
-2.0258,-2.0488,-0.9151,-0.9063,-2.942,-3.2134,-0.8798,-0.8513,2016-04-29 12:42:55.338000$$2016-04-29 12:47:59.549
-2.6947,-2.4749,-0.8954,-0.9586,-2.4885,-2.2236,-0.8188,-0.8576,2016-04-29 12:47:59.549000$$2016-04-29 12:52:59.778
-2.6391,-2.3627,-0.845,-0.9117,-2.9699,-2.7134,-0.8037,-0.8263,2016-04-29 12:52:59.778000$$2016-04-29 12:58:06.124
-2.5636,-2.4529,-0.8464,-0.903,-2.8629,-2.4984,-0.828,-0.8524,2016-04-29 12:58:06.124000$$2016-04-29 13:03:07.898
-2.5839,-2.4594,-0.8902,-0.9336,-2.5043,-2.3474,-0.8388,-0.8539,2016-04-29 13:03:07.898000$$2016-04-29 13:08:08.048
-2.7101,-2.4463,-0.8453,-0.9661,-2.7726,-2.5088,-0.8175,-0.7953,2016-04-29 13:08:08.048000$$2016-04-29 13:13:08.551
-2.5809,-2.2407,-0.8699,-0.8857,-3.1641,-3.237,-0.77,-0.8167,2016-04-29 13:13:08.551000$$2016-04-29 13:18:12.601
-2.4406,-2.3955,-0.872,-0.8291,-3.0204,-3.394,-0.8075,-0.8236,2016-04-29 13:18:12.601000$$2016-04-29 13:23:13.044
-2.2429,-2.5177,-0.9107,-0.8576,-2.9187,-3.0624,-0.8264,-0.8021,2016-04-29 13:23:13.044000$$2016-04-29 13:28:13.940
-2.1759,-2.0049,-0.9148,-0.9702,-2.7116,-2.5537,-0.8688,-0.8952,2016-04-29 13:28:13.940000$$2016-04-29 13:33:13.984
-2.1613,-1.8382,-0.8767,-0.9471,-3.245,-2.9125,-0.8446,-0.9196,2016-04-29 13:33:13.984000$$2016-04-29 13:38:13.998
-1.9707,-1.8529,-0.9111,-0.9803,-3.0374,-2.8084,-0.8901,-0.8972,2016-04-29 13:38:13.998000$$2016-04-29 13:43:14.100
-1.6259,-1.6341,-0.9813,-0.9738,-3.208,-3.1963,-0.9467,-0.9511,2016-04-29 13:43:14.100000$$2016-04-29 13:48:14.306
-2.0444,-1.8996,-0.8912,-0.9479,-3.316,-3.0147,-0.8578,-0.8825,2016-04-29 13:48:14.306000$$2016-04-29 13:53:14.339
-1.9616,-2.0038,-0.9083,-0.9309,-3.0204,-2.8677,-0.898,-0.8815,2016-04-29 13:53:14.339000$$2016-04-29 13:58:14.452
-2.0424,-2.1604,-0.934,-0.8865,-3.0249,-3.2278,-0.8469,-0.8371,2016-04-29 13:58:14.452000$$2016-04-29 14:03:15.658
-1.7452,-2.1174,-0.9562,-0.8444,-3.5633,-3.7348,-0.885,-0.8534,2016-04-29 14:03:15.658000$$2016-04-29 14:08:15.847
-1.6094,-2.0771,-0.982,-0.8719,-3.4624,-3.56,-0.9312,-0.8483,2016-04-29 14:08:15.847000$$2016-04-29 14:13:16.171
-2.1423,-2.0901,-0.8762,-0.9191,-2.9756,-2.9602,-0.8789,-0.8542,2016-04-29 14:13:16.171000$$2016-04-29 14:18:16.213
-2.2203,-2.0075,-0.8478,-0.9057,-3.515,-3.2555,-0.8363,-0.8607,2016-04-29 14:18:16.213000$$2016-04-29 14:23:16.224
-2.0539,-2.2273,-0.9195,-0.9075,-2.8348,-2.987,-0.8811,-0.825,2016-04-29 14:23:16.224000$$2016-04-29 14:28:17.378
-1.9959,-2.1209,-0.9028,-0.8934,-3.3541,-3.2195,-0.8586,-0.842,2016-04-29 14:28:17.378000$$2016-04-29 14:33:17.389
-2.0499,-1.9511,-0.8936,-0.9097,-3.4264,-3.2768,-0.845,-0.8735,2016-04-29 14:33:17.389000$$2016-04-29 14:38:17.467
-2.0501,-1.8679,-0.8773,-0.9374,-3.3748,-3.3173,-0.8648,-0.8731,2016-04-29 14:38:17.467000$$2016-04-29 14:43:17.579
-1.9471,-1.9236,-0.9079,-0.8953,-3.3547,-3.6439,-0.8698,-0.8692,2016-04-29 14:43:17.579000$$2016-04-29 14:48:18.891
-1.7487,-1.7364,-0.9589,-0.9299,-3.1085,-3.2355,-0.9213,-0.9419,2016-04-29 14:48:18.891000$$2016-04-29 14:53:19.066
-1.7262,-2.1316,-0.973,-0.8638,-3.2721,-3.4425,-0.901,-0.849,2016-04-29 14:53:19.066000$$2016-04-29 14:58:19.152
-1.8225,-1.9505,-0.9609,-0.8915,-3.1612,-3.2194,-0.8832,-0.8971,2016-04-29 14:58:19.152000$$2016-04-29 15:03:19.166
-1.877,-1.8141,-0.908,-0.9237,-3.5092,-3.356,-0.8826,-0.9036,2016-04-29 15:03:19.166000$$2016-04-29 15:08:19.461
-1.9506,-1.7379,-0.9181,-0.9375,-3.3225,-3.3183,-0.8617,-0.9256,2016-04-29 15:08:19.461000$$2016-04-29 15:13:19.614
-1.7135,-1.8011,-0.9918,-0.9711,-2.9936,-2.9711,-0.9194,-0.9039,2016-04-29 15:13:19.614000$$2016-04-29 15:18:19.668
-1.8484,-1.7119,-0.9198,-0.9547,-3.3365,-3.1748,-0.8956,-0.9346,2016-04-29 15:18:19.668000$$2016-04-29 15:23:20.124
-1.8278,-1.732,-0.9609,-0.9804,-3.0685,-2.8681,-0.8912,-0.9387,2016-04-29 15:23:20.124000$$2016-04-29 15:28:20.730
